facility_id,age,service_type,priority_level,customer_type,wait_tolerance,queue_length,queue_position,historical_avg_wait,active_staff_count,avg_service_time,staff_availability,hour_of_day,day_of_week,is_holiday,peak_hours,no_show_indicator,service_counters,operational_hours,feedback_score,actual_wait_time,queue_status
F001,45,consultation,elderly,appointment,23,8,4,15,1,8.4,0.69,13,4,0,0,0,3,9,4.4,,congested
F004,31,consultation,elderly,online,5,23,8,17,2,13,,18,3,0,0,0,2,8,3.1,,error
F003,61,complaint,normal,online,22,23,4,28.6,2,15.8,0.66,8,6,0,0,0,5,8,4.3,,critical
F002,18,renewal,normal,appointment,22,19,19,14,2,8.2,0.6,13,4,0,0,0,3,9,4.1,,critical
F003,77,inquiry,elderly,online,9,28,25,15.6,3,5.7,0.7,18,5,0,0,0,3,12,3.3,,critical
F004,63,renewal,normal,appointment,5,19,4,21.6,8,9,0.89,9,2,0,1,0,4,8,4.6,,critical
F005,26,inquiry,normal,appointment,14,9,1,15,1,7,0.85,15,0,0,0,0,2,12,4.3,,normal
F001,34,payment,urgent,appointment,5,12,2,13,4,4.5,0.74,17,4,0,0,0,5,12,3.8,,busy
F002,37,payment,normal,walk-in,13,14,11,32.5,1,6.1,0.76,13,6,0,0,0,5,10,2.9,,critical
F002,28,inquiry,normal,online,30,7,3,14,3,5.1,0.66,14,4,0,0,1,5,10,4,,abandoned
F005,90,application,elderly,online,5,9,4,12,2,7.6,0.64,17,0,0,0,0,5,12,3.4,,critical
F002,51,application,urgent,appointment,5,8,8,16,4,24.1,0.72,15,4,0,0,0,6,9,4,,critical
F003,67,consultation,normal,walk-in,16,28,6,41.4,6,4.4,0.86,12,3,0,1,0,2,9,4.3,,busy
F004,49,payment,normal,appointment,12,20,12,22,3,3.4,0.88,13,1,0,0,0,4,12,4,,congested
F003,53,payment,normal,walk-in,15,23,10,21,1,3,0.61,14,4,0,0,0,2,12,4.2,,critical
F002,86,inquiry,elderly,appointment,13,15,14,13,2,7.9,0.85,14,4,0,0,1,5,12,2.9,,abandoned
F001,58,complaint,normal,walk-in,15,6,5,31.2,2,24.8,0.68,17,5,0,0,0,3,8,2.8,,critical
F001,41,consultation,elderly,online,11,11,4,24.7,4,12.5,0.74,18,6,0,0,0,4,10,4.1,,busy
F005,65,payment,normal,online,9,8,5,11,4,8,0.61,17,2,0,0,0,3,8,3.7,,critical
F003,49,payment,elderly,appointment,10,11,8,14,1,4,0.88,18,3,0,0,0,2,12,4.3,,critical
F002,43,inquiry,urgent,walk-in,5,18,8,14,4,3,0.66,15,3,0,0,0,2,8,5,,congested
F002,82,renewal,elderly,walk-in,29,13,3,22,3,8.9,0.83,18,2,0,0,0,3,12,3.7,,normal
F002,83,consultation,elderly,online,9,10,9,22,4,14.5,0.82,17,0,0,0,0,5,8,4.2,,critical
F003,54,application,elderly,appointment,18,23,20,18.2,1,4.9,0.77,18,6,0,0,0,6,8,2.3,,critical
F001,65,application,normal,walk-in,17,16,7,49.1,3,7.8,0.96,10,6,0,1,0,2,10,4.3,,critical
F003,25,application,normal,walk-in,23,22,2,16,1,21.6,0.69,15,3,0,0,0,2,10,3.8,,critical
F003,61,application,normal,walk-in,12,7,6,16,3,17.7,0.66,14,4,0,0,0,6,9,4.6,,critical
F004,24,application,elderly,appointment,19,6,1,6,1,20.9,0.88,13,0,1,0,0,4,12,4.1,,busy
F005,22,renewal,normal,appointment,17,9,1,18.2,4,4.7,0.84,15,5,0,0,0,6,9,4.9,,normal
F004,64,consultation,normal,appointment,28,21,13,23,4,11,0.63,14,3,0,0,0,5,10,4.7,,critical
F003,43,complaint,urgent,walk-in,5,10,7,12,4,21.4,0.86,16,1,0,0,0,6,9,3.5,,critical
F002,26,application,urgent,appointment,5,23,12,23,3,22.1,0.73,13,1,0,0,1,4,9,4,,abandoned
F004,38,application,normal,online,27,14,3,22,4,18,0.8,18,4,0,0,0,4,8,5,,busy
F001,72,renewal,elderly,walk-in,15,18,18,25,2,13.1,0.6,16,3,0,0,0,3,10,1.4,,critical
F001,67,inquiry,urgent,online,5,18,18,17,3,5.3,0.69,15,0,0,0,0,3,10,4.5,,critical
F004,31,inquiry,normal,online,18,12,1,24,2,8.3,0.88,13,2,0,0,1,3,8,4.7,,abandoned
F001,39,complaint,normal,walk-in,20,36,31,45,6,21.5,0.98,11,3,0,1,0,6,10,2.9,,critical
F001,67,application,normal,walk-in,18,11,1,11,1,15.3,0.73,15,4,0,0,0,3,10,4.5,,congested
F004,45,inquiry,elderly,online,17,6,3,25,4,4.1,0.9,18,2,0,0,0,2,12,4.9,,busy
F004,69,renewal,urgent,online,5,17,15,23,3,6.5,0.61,17,4,0,0,0,6,9,3.4,,critical
F003,64,consultation,normal,online,5,16,6,34.2,4,5,1,12,3,0,1,0,3,12,4.3,,critical
F002,27,consultation,urgent,appointment,5,23,8,18,6,18.3,0.8,10,2,0,1,0,5,8,4.5,,critical
F004,32,complaint,normal,walk-in,16,7,3,11,1,17.9,0.61,15,3,0,0,0,2,8,4.3,,critical
F002,44,application,elderly,walk-in,10,13,8,20,4,18.3,0.86,14,4,0,0,0,4,10,3.5,,critical
F003,29,inquiry,normal,walk-in,19,43,12,23.4,5,5.8,0.91,11,1,0,1,0,5,9,4.9,,congested
F002,67,inquiry,normal,appointment,29,14,11,17,2,7,0.61,16,1,0,0,0,5,12,4.7,,critical
F003,68,renewal,normal,walk-in,17,22,11,18,2,7.9,0.9,16,3,0,0,0,2,8,4.2,,critical
F003,20,payment,normal,walk-in,24,22,13,11,1,6,0.69,18,1,0,0,0,2,8,2.4,,critical
F002,81,payment,elderly,online,16,14,7,28.8,8,6,0.81,12,3,0,1,0,3,10,4.4,,busy
F001,66,payment,normal,online,37,31,23,20.8,1,4.1,0.63,18,6,0,0,1,6,8,3,,abandoned
F001,88,consultation,elderly,online,20,24,17,16.9,1,9.6,0.84,17,5,0,0,1,3,9,1.2,,abandoned
F002,87,renewal,elderly,appointment,16,43,12,19.8,7,3,0.95,12,2,0,1,1,5,12,4.2,,abandoned
F005,86,payment,elderly,appointment,16,25,1,12,2,4.5,0.9,14,0,0,0,0,2,10,3.5,,normal
F001,50,inquiry,normal,walk-in,17,24,1,27.3,2,9.1,0.62,17,6,0,0,0,4,9,4.7,,normal
F005,73,application,elderly,walk-in,21,36,13,43.2,7,4.8,0.9,11,2,0,1,0,6,8,3.6,,congested
F004,47,application,normal,appointment,5,20,14,21,1,21.6,0.83,18,4,0,0,1,5,8,1,,abandoned
F003,85,payment,elderly,online,11,22,7,23,2,3,0.73,14,1,0,0,0,2,8,5,,busy
F005,69,inquiry,normal,online,23,13,10,19.5,2,4,0.73,18,5,0,0,0,2,9,3.9,,congested
F005,39,renewal,normal,appointment,25,23,18,23.4,6,5.6,0.86,9,5,0,1,0,6,8,4.3,,busy
F005,77,inquiry,elderly,walk-in,11,9,7,20,4,6.4,0.71,17,3,0,0,1,4,8,4.7,,abandoned
F004,55,complaint,normal,appointment,27,14,13,43.2,3,24.8,0.98,9,1,0,1,0,6,9,2.6,,critical
F003,68,renewal,normal,walk-in,26,28,26,21.6,7,8,0.91,10,2,0,1,1,6,12,4.7,,abandoned
F004,18,consultation,normal,online,38,31,6,23.4,3,12.2,0.78,18,6,0,0,0,6,12,3.1,,congested
F003,20,payment,normal,walk-in,22,5,5,9.6,1,4.9,0.64,8,0,1,0,0,2,8,3.7,,critical
F002,53,inquiry,elderly,walk-in,5,13,10,13,4,9,0.8,18,5,0,0,0,3,9,4.4,,critical
F002,89,consultation,elderly,online,16,6,4,19.5,1,7.5,0.6,17,6,0,0,0,2,9,3.5,,critical
F003,72,inquiry,elderly,online,11,16,9,43.2,5,4.6,0.85,10,4,0,1,0,2,10,4.2,,critical
F001,53,complaint,normal,appointment,13,25,13,37.8,6,15.6,0.94,9,4,0,1,0,5,12,4.2,,critical
F005,65,renewal,urgent,online,5,12,5,20,1,7.1,0.68,18,4,0,0,0,5,10,3,,critical
F005,52,complaint,urgent,appointment,5,37,13,34.2,7,28.8,0.95,11,2,0,1,0,5,9,3.1,,critical
F004,68,inquiry,normal,appointment,14,18,17,26,2,3.5,,15,5,0,0,0,4,12,3.8,,error
F004,38,payment,normal,online,28,25,14,16,3,5.4,0.69,17,2,0,0,0,6,10,4.2,,congested
F005,57,complaint,normal,walk-in,17,15,13,11,3,20.1,0.9,13,1,0,0,1,4,12,2.6,,abandoned
F004,43,inquiry,normal,online,9,13,3,16,1,9.1,0.81,8,2,0,0,0,3,10,4,,critical
F001,18,complaint,normal,appointment,22,12,9,10,1,16.3,0.73,13,4,0,0,0,4,8,2.3,,critical
F002,61,renewal,normal,walk-in,26,5,2,13,3,3,0.66,18,1,0,0,0,5,10,4,,normal
F001,46,payment,normal,walk-in,12,20,20,20,2,5.2,0.62,18,0,0,0,0,3,9,3.6,,critical
F004,69,payment,normal,online,21,16,6,24,3,3.7,0.64,8,4,0,0,0,3,10,4.6,,busy
F004,46,inquiry,urgent,appointment,5,21,7,21,3,6.3,0.69,16,1,0,0,0,2,8,4.2,,critical
F001,56,inquiry,normal,appointment,27,28,27,37.8,5,7.6,0.95,9,3,0,1,0,5,9,3.8,,critical
F003,43,inquiry,elderly,walk-in,10,21,15,32.4,6,7,0.82,9,3,0,1,0,5,10,3.9,,critical
F004,50,inquiry,elderly,online,18,14,3,41.4,3,5.9,0.9,10,2,0,1,0,5,9,4.4,,normal
F005,47,application,elderly,online,15,9,7,22.1,1,11.4,0.84,8,5,0,0,0,4,8,2.1,,critical
F004,22,renewal,normal,appointment,23,15,12,14,2,5.9,0.87,8,1,0,0,0,3,8,3.8,,critical
F003,85,payment,elderly,walk-in,17,39,34,19.8,5,6,0.9,11,2,0,1,0,3,8,3.2,,critical
F002,64,renewal,normal,walk-in,11,14,14,32.8,7,11.5,0.84,11,5,0,1,0,4,9,4.1,,critical
F003,77,inquiry,elderly,walk-in,18,10,10,12,1,5.7,0.82,13,3,0,0,0,4,9,4.3,,critical
F005,49,renewal,normal,walk-in,18,32,24,30.6,3,4.5,0.98,11,2,0,1,0,5,12,3.7,,critical
F003,70,consultation,normal,appointment,20,21,19,30.4,8,14.7,0.99,9,6,0,1,0,2,12,4.6,,critical
F001,36,inquiry,normal,walk-in,31,31,3,14.3,4,6.6,0.67,16,5,0,0,0,6,9,3.2,,congested
F005,74,renewal,elderly,walk-in,17,19,15,41.4,6,11.1,0.82,9,0,0,1,1,6,12,4,,abandoned
F001,28,renewal,normal,walk-in,28,9,4,6.6,3,9.8,0.68,18,0,1,0,1,3,12,3.6,,abandoned
F002,89,inquiry,elderly,walk-in,23,43,3,28.8,8,8.8,0.99,11,2,0,1,0,6,10,4.5,,congested
F003,24,payment,normal,online,13,7,1,9.6,3,4.6,0.72,14,0,1,0,0,4,8,3.8,,normal
F002,87,inquiry,elderly,online,23,37,7,19.8,3,9.4,0.98,10,2,0,1,0,5,9,3.6,,congested
F001,49,payment,urgent,walk-in,7,16,13,14.3,1,6,0.76,13,6,0,0,1,3,9,3,,abandoned
F002,43,application,normal,appointment,23,12,11,39.6,7,19.1,0.82,10,0,0,1,0,5,8,4.2,,critical
F005,29,complaint,normal,appointment,26,25,23,25,2,18.5,0.82,18,4,0,0,0,6,10,1,,critical
F004,23,consultation,elderly,walk-in,19,6,3,18.2,1,5.7,0.68,15,6,0,0,0,2,12,3.3,,busy
F003,21,renewal,elderly,online,18,45,43,36,3,6.7,0.84,12,0,0,1,0,2,8,3,,critical
F003,56,renewal,elderly,appointment,12,28,9,37.8,6,6.5,0.92,9,4,0,1,0,4,12,4.2,,busy
F005,81,inquiry,elderly,online,19,16,8,56.2,6,4.5,0.95,10,5,0,1,0,6,12,4.2,,normal
F005,63,application,normal,appointment,22,22,4,18.2,4,20.4,0.83,14,6,0,0,0,3,8,4.1,,critical
F002,43,consultation,normal,walk-in,36,39,34,45,8,12.6,0.86,11,1,0,1,0,3,10,4.1,,critical
F001,68,renewal,normal,appointment,18,30,6,45,6,13.1,0.84,9,2,0,1,0,2,12,5,,critical
F004,31,payment,normal,online,37,16,6,19,2,5.6,0.63,18,3,0,0,0,3,12,5,,busy
F002,66,renewal,normal,walk-in,14,23,19,23.8,7,7.5,,12,0,1,1,0,5,9,3.4,,error
F005,47,inquiry,normal,walk-in,11,17,8,12,3,7.6,0.77,16,1,0,0,0,2,9,4.7,,critical
F002,46,application,normal,online,22,13,2,11,3,13.8,0.61,14,1,0,0,0,6,8,4.1,,busy
F004,38,application,normal,walk-in,29,14,8,14,7,15,0.84,10,0,1,1,0,6,12,4.2,,busy
F005,75,complaint,elderly,appointment,13,27,20,23.4,4,22.1,0.87,15,6,0,0,0,6,8,2.4,,critical
F001,33,inquiry,elderly,online,20,14,5,41.4,5,8.4,1,10,1,0,1,0,6,8,3.4,,normal
F002,81,consultation,elderly,appointment,11,11,11,20,4,14.2,0.86,8,0,0,0,1,2,9,4.2,,abandoned
F004,75,renewal,elderly,walk-in,26,10,7,13,4,5.3,0.78,13,2,0,0,0,6,8,5,,normal
F001,24,complaint,normal,online,22,39,34,35.1,8,12.3,0.81,11,5,0,1,0,5,8,3.1,,critical
F001,39,complaint,normal,walk-in,5,8,7,17,2,7.4,0.73,13,1,0,0,0,5,10,4.2,,critical
F005,25,complaint,elderly,appointment,12,12,8,15,3,15.7,0.82,8,1,0,0,0,3,10,3,,critical
F002,88,application,elderly,online,17,14,3,45,5,7.8,1,11,0,0,1,0,3,10,3.9,,normal
F003,52,inquiry,normal,online,5,7,7,15,3,5.1,0.77,13,0,0,0,0,5,12,4.1,,critical
F005,41,complaint,normal,online,5,19,13,19.8,3,9.1,0.94,9,0,0,1,0,4,10,3.8,,critical
F002,50,application,normal,online,15,35,15,30.4,5,23.8,0.88,11,5,0,1,0,2,12,3.6,,critical
F004,23,renewal,elderly,online,18,25,19,23,3,6.2,0.71,18,2,0,0,0,3,10,2.9,,critical
F004,40,application,urgent,walk-in,5,8,8,25,2,10.7,0.7,16,1,0,0,0,5,8,3.5,,critical
F002,42,inquiry,normal,online,10,42,29,23.4,6,6.2,0.94,11,6,0,1,0,4,8,4.2,,critical
F002,39,complaint,normal,online,10,58,11,42.1,3,7.7,0.94,12,5,0,1,0,2,12,4.5,,critical
F003,73,payment,elderly,appointment,14,27,10,18,3,4.8,0.98,10,0,0,1,0,4,9,4.1,,busy
F004,21,complaint,normal,appointment,9,18,9,30.6,5,30,0.8,12,3,0,1,0,4,8,3.9,,critical
F003,26,complaint,normal,walk-in,13,15,7,18,1,30,0.78,16,2,0,0,0,5,10,1.4,,critical
F001,42,consultation,normal,appointment,21,19,2,20,3,7.5,0.85,17,3,0,0,0,6,8,4,,normal
F005,27,consultation,elderly,walk-in,23,11,11,37.4,5,12.1,0.88,10,5,0,1,0,6,9,3.6,,busy
F002,66,inquiry,normal,appointment,20,30,14,41.4,7,4.8,0.83,10,2,0,1,0,3,12,4.9,,congested
F003,87,consultation,elderly,walk-in,10,19,1,30.6,5,19.4,0.83,9,1,0,1,0,2,12,5,,busy
F002,52,payment,normal,walk-in,22,23,7,20.8,3,3,0.8,16,5,0,0,0,4,9,4.4,,normal
F005,50,inquiry,normal,walk-in,15,6,5,23,3,3.4,0.84,16,3,0,0,0,3,12,4.7,,busy
F003,61,renewal,normal,online,25,9,8,32.4,4,6.2,0.87,10,2,0,1,0,3,10,3.6,,busy
F001,19,complaint,elderly,online,17,12,10,23,4,13.6,0.69,15,0,0,0,0,5,12,3.8,,critical
F002,84,application,elderly,appointment,6,11,1,11,3,15.9,0.68,15,1,0,0,0,4,10,4.4,,busy
F004,66,complaint,normal,appointment,33,27,14,29.9,4,27.3,0.78,18,5,0,0,0,2,12,1.9,,critical
F005,24,inquiry,urgent,walk-in,5,4,3,14.4,1,8,0.62,18,0,1,0,0,4,12,5,,critical
F001,71,renewal,elderly,appointment,8,23,11,13,3,9.3,0.62,15,5,0,0,0,2,12,3.5,,critical
F005,41,complaint,normal,appointment,15,19,10,28.8,5,15.5,0.92,12,2,0,1,0,6,10,4.3,,critical
F003,60,consultation,normal,online,19,32,27,30.6,6,6.1,0.87,12,1,0,1,1,3,12,4.6,,abandoned
F002,60,payment,elderly,online,15,24,4,24.7,1,6.1,0.85,16,5,0,0,0,6,10,4.4,,congested
F003,66,payment,elderly,online,9,14,9,12,4,4.3,0.83,14,1,0,0,0,6,9,3.8,,busy
F001,67,consultation,normal,walk-in,12,14,6,27.3,2,14.4,0.61,16,6,0,0,0,3,12,3.7,,critical
F004,44,consultation,elderly,appointment,11,6,3,27.3,2,16.7,0.87,17,5,0,0,0,4,12,4.7,,critical
F003,71,renewal,elderly,online,8,16,2,28.8,8,4.7,0.88,11,1,0,1,0,3,10,5,,normal
F004,49,complaint,normal,online,16,12,2,12,2,19.4,0.66,17,3,0,0,0,2,12,4.6,,critical
F004,33,payment,urgent,walk-in,5,19,10,18,3,5.9,0.74,8,2,0,0,0,3,12,3.7,,critical
F005,23,renewal,normal,appointment,11,27,20,32.5,4,7.2,0.68,15,5,0,0,0,4,10,3.3,,critical
F002,60,application,normal,walk-in,20,16,12,28.8,6,11.1,0.95,12,2,0,1,0,5,12,4.6,,congested
F004,51,consultation,normal,online,17,9,1,25,4,16.6,0.74,15,3,0,0,0,4,9,4.3,,normal
F001,44,inquiry,normal,walk-in,17,25,25,16,1,5.1,0.79,13,2,0,0,1,6,10,2.9,,abandoned
F003,63,inquiry,normal,online,25,21,5,17,3,9.3,0.82,14,4,0,0,0,5,10,4.8,,busy
F001,34,payment,normal,walk-in,5,32,28,19.8,8,4.3,0.94,10,2,0,1,0,4,12,4.7,,critical
F005,49,consultation,normal,online,11,25,19,37.8,6,5.6,0.82,9,4,0,1,0,6,12,3.7,,critical
F003,58,consultation,normal,online,9,37,14,43.2,5,12.4,0.88,9,2,0,1,1,5,12,5,,abandoned
F004,70,complaint,normal,appointment,20,21,16,10,3,14.5,0.82,16,2,0,0,0,5,9,3.7,,critical
F002,65,payment,urgent,appointment,5,10,6,12.6,1,7.2,,13,0,1,0,0,3,9,3.9,,error
F005,81,payment,elderly,walk-in,17,23,10,13,3,4.3,0.68,17,5,0,0,0,6,12,4.4,,busy
F003,63,consultation,normal,appointment,24,12,4,21.6,7,10.1,0.88,9,4,0,1,1,5,9,4.4,,abandoned
F001,82,inquiry,elderly,walk-in,14,27,6,32.4,6,9.9,0.86,9,4,0,1,0,3,10,4.2,,congested
F005,39,complaint,urgent,walk-in,5,21,17,45,8,29.5,0.85,9,2,0,1,0,5,12,4.2,,critical
F002,30,renewal,normal,walk-in,22,14,2,20.8,3,8.8,0.62,15,6,0,0,0,4,10,4,,normal
F005,86,renewal,elderly,appointment,23,7,3,16,3,13.8,0.79,14,0,0,0,0,6,10,4.8,,normal
F004,84,application,elderly,walk-in,18,18,3,19.5,4,13.8,0.7,17,5,0,0,0,5,10,4.6,,busy
F001,30,payment,urgent,online,5,53,15,44.5,7,4.4,0.95,11,5,0,1,0,2,9,3.9,,critical
F003,42,inquiry,normal,online,23,23,5,27,5,3.2,0.98,12,2,0,1,0,6,12,4.1,,normal
F001,31,application,normal,walk-in,19,10,2,20,2,17.9,0.74,8,0,0,0,0,4,12,4.8,,congested
F003,63,complaint,normal,walk-in,11,28,7,19.8,3,24.7,0.86,9,0,0,1,1,4,8,3.4,,abandoned
F003,30,complaint,normal,appointment,16,10,10,41.4,5,18,0.92,9,3,0,1,0,5,12,4.1,,critical
F005,57,complaint,urgent,walk-in,5,15,15,19,1,13,0.83,14,1,0,0,0,6,8,1,,critical
F001,52,application,normal,online,21,15,3,11,4,18.6,0.69,17,2,0,0,0,2,12,4.1,,critical
F001,29,inquiry,normal,online,24,5,1,14,2,8.8,0.8,14,1,0,0,0,5,9,5,,normal
F005,28,complaint,normal,appointment,30,45,32,37.8,8,19.7,0.88,10,2,0,1,0,6,12,3.2,,critical
F003,52,complaint,normal,walk-in,23,12,10,7.2,1,20,0.6,16,0,1,0,0,5,9,2.5,,critical
F005,43,consultation,normal,appointment,5,10,3,10,1,20.2,0.89,18,3,0,0,0,4,12,2.5,,critical
F003,33,inquiry,normal,walk-in,20,16,12,21.6,5,5.1,0.87,11,1,0,1,0,6,8,4.1,,busy
F003,20,inquiry,normal,walk-in,22,17,2,19,1,3.7,0.65,18,4,0,0,0,2,12,4.6,,normal
F005,51,inquiry,elderly,walk-in,14,44,26,46.8,3,6.5,0.94,12,6,0,1,1,6,10,3.2,,abandoned
F004,30,consultation,normal,online,15,30,11,37.8,6,18.4,0.96,12,2,0,1,0,6,12,4.7,,critical
F005,48,complaint,urgent,walk-in,5,9,4,28.6,1,23.2,0.73,13,5,0,0,1,2,8,2.7,,abandoned
F005,19,inquiry,normal,walk-in,5,23,16,32.4,8,7.5,0.95,11,4,0,1,0,6,8,4,,critical
F005,50,consultation,normal,online,6,22,19,21.6,8,14.2,0.85,11,0,1,1,0,4,10,2.8,,critical
F003,90,inquiry,elderly,online,18,10,6,30.6,5,8.2,0.89,9,1,0,1,0,2,12,3.5,,congested
F005,60,application,normal,online,28,15,3,28.6,4,16.6,0.6,8,6,0,0,0,5,12,4.4,,busy
F005,37,complaint,normal,walk-in,6,23,6,21,2,18.2,0.86,14,3,0,0,0,2,8,3.4,,critical
F004,23,payment,normal,appointment,32,32,22,41.4,7,6.2,0.95,11,4,0,1,0,5,12,3.7,,congested
F003,88,renewal,elderly,appointment,15,15,8,23.4,3,8.7,0.77,14,5,0,0,0,3,8,3.5,,congested
F004,59,inquiry,elderly,online,14,37,22,35.1,7,4.4,0.94,11,6,0,1,0,4,8,3.1,,congested
F001,67,application,normal,online,24,10,7,24,3,8.1,0.83,18,2,0,0,0,6,12,4.9,,congested
F003,70,application,normal,appointment,30,28,26,36,3,22,0.95,11,3,0,1,0,2,12,1.2,,critical
F001,19,complaint,normal,walk-in,20,7,5,20.8,3,21.4,0.82,14,5,0,0,0,5,9,3.8,,critical
F002,37,inquiry,normal,online,7,10,5,14,2,7.1,0.76,13,2,0,0,0,4,9,3.8,,critical
F003,84,application,elderly,walk-in,9,16,14,14.3,1,5.6,0.84,16,6,0,0,0,2,9,3.1,,critical
F004,60,consultation,normal,appointment,20,12,8,17,3,15.5,0.84,16,2,0,0,0,2,10,3.5,,critical
F003,62,consultation,normal,appointment,33,12,10,14,4,6.9,0.61,14,1,0,0,0,5,9,3.6,,busy
F003,44,complaint,normal,online,41,17,10,12,1,17.6,0.78,18,1,0,0,1,5,12,1,,abandoned
F002,64,application,urgent,online,5,6,2,12,3,8.7,0.89,18,1,0,0,0,6,9,4.9,,normal
F005,58,renewal,normal,walk-in,5,22,5,12,2,7.6,0.72,15,0,0,0,0,4,12,2.8,,critical
F005,68,complaint,normal,online,22,9,8,18,6,6.8,0.97,12,2,0,1,0,2,8,3.8,,congested
F003,53,payment,normal,appointment,28,14,2,19,2,4.1,0.7,13,4,0,0,0,6,9,5,,normal
F005,61,complaint,elderly,appointment,13,41,31,32.4,6,20.8,0.89,11,0,0,1,0,2,12,3.1,,critical
F004,51,application,elderly,appointment,12,45,14,34.2,4,10.8,1,12,3,0,1,0,2,10,3.6,,critical
F003,18,payment,normal,walk-in,19,23,9,11,4,6.2,0.72,17,4,0,0,0,2,10,4.3,,critical
F003,24,consultation,normal,walk-in,21,6,1,13,3,17.2,0.79,15,4,0,0,0,6,10,4.4,,normal
F003,86,complaint,elderly,online,14,20,5,15,3,21.6,0.88,18,2,0,0,0,5,10,4,,critical
F002,80,complaint,elderly,appointment,13,25,4,39.6,7,21.1,0.87,12,3,0,1,0,6,10,3.9,,busy
F004,65,renewal,normal,appointment,15,37,36,23.4,8,9.2,0.95,10,6,0,1,0,6,10,4.1,,critical
F004,70,complaint,normal,walk-in,5,17,2,14,3,20.4,0.79,16,4,0,0,0,3,9,4.3,,critical
F004,56,complaint,urgent,online,5,19,1,19,1,15.2,0.74,18,2,0,0,0,2,10,5,,congested
F002,49,inquiry,normal,online,30,14,2,21,3,4.5,0.77,18,1,0,0,0,5,10,4.9,,normal
F001,77,consultation,elderly,online,18,5,2,22,1,8.5,0.61,14,3,0,0,0,2,8,4.6,,congested
F003,52,application,normal,online,5,23,2,25,4,13.2,0.81,14,1,0,0,0,4,8,3.9,,critical
F004,64,complaint,elderly,walk-in,20,41,16,41.4,6,19.6,0.88,10,1,0,1,0,5,9,3.6,,critical
F003,70,application,elderly,walk-in,9,6,4,11,4,24.9,0.64,13,0,0,0,0,2,9,4.1,,critical
F002,18,payment,normal,appointment,13,12,5,28.8,3,7.2,0.92,9,4,0,1,0,5,10,4.3,,busy
F003,46,complaint,elderly,online,20,15,8,23,4,6.7,0.83,14,0,0,0,0,6,8,3.9,,busy
F004,24,complaint,normal,walk-in,28,19,8,21,4,15.5,0.85,18,3,0,0,0,2,9,3.5,,critical
F004,48,inquiry,elderly,online,12,36,17,21.6,4,7.3,0.98,10,3,0,1,0,5,8,4.1,,critical
F001,39,payment,normal,walk-in,20,7,3,15,3,3,0.86,18,4,0,0,0,6,12,5,,normal
F003,60,payment,normal,online,39,24,10,22,3,3.9,0.74,17,3,0,0,0,5,10,5,,normal
F003,53,renewal,normal,online,16,18,3,16.9,1,9.4,0.84,13,5,0,0,0,2,9,4,,critical
F005,61,consultation,normal,walk-in,32,9,1,17.3,7,15,0.97,11,0,1,1,0,3,12,4.5,,normal
F001,30,renewal,elderly,walk-in,23,22,9,25,1,8.8,0.68,14,2,0,0,0,2,10,4.1,,critical
F001,52,renewal,normal,appointment,18,10,2,23.4,4,3,0.89,11,0,0,1,0,3,8,3.6,,normal
F005,77,renewal,elderly,walk-in,23,20,2,10,4,13.2,0.8,14,0,0,0,0,3,12,4.4,,normal
F001,79,consultation,elderly,walk-in,6,18,16,12,4,7.7,0.66,17,2,0,0,1,4,12,3,,abandoned
F003,67,application,normal,appointment,6,41,15,19.8,4,14,0.98,12,0,0,1,0,4,12,5,,critical
F005,28,consultation,elderly,appointment,8,22,2,26,2,11.9,0.78,15,6,0,0,1,2,12,5,,abandoned
F005,32,renewal,normal,appointment,28,43,29,19.8,3,8.7,0.91,12,0,0,1,0,6,8,3.5,,critical
F001,77,inquiry,elderly,walk-in,11,9,8,32.4,4,8.6,0.82,10,3,0,1,0,6,9,4.1,,congested
F005,39,renewal,elderly,walk-in,16,39,1,32.8,4,5,0.82,10,5,0,1,0,6,12,3.9,,congested
F001,47,payment,normal,online,13,11,6,17,3,3.7,0.66,16,1,0,0,0,2,12,4.8,,congested
F003,79,consultation,elderly,online,11,14,6,18,4,11.5,0.77,13,0,0,0,0,2,8,4.2,,critical
F005,29,consultation,normal,online,12,16,8,28.8,3,11.1,0.91,9,2,0,1,0,5,8,4.7,,critical
F004,81,consultation,elderly,online,20,20,3,25,1,15.9,0.66,17,3,0,0,0,2,10,4.3,,critical
F003,29,renewal,urgent,online,6,17,9,17,3,13.5,0.66,14,1,0,0,0,2,12,3.8,,critical
F005,73,complaint,elderly,online,18,7,1,28.6,3,14.5,0.67,15,5,0,0,0,5,9,5,,normal
F004,23,payment,normal,online,20,15,4,19.5,3,3.4,0.77,15,6,0,0,0,4,12,5,,normal
F002,56,consultation,normal,online,25,22,9,11,3,11.4,0.81,13,1,0,0,0,2,8,3.5,,critical
F005,55,renewal,urgent,appointment,5,13,8,14.3,4,3,0.78,8,5,0,0,0,4,12,4.9,,busy
F003,79,consultation,elderly,online,27,41,31,39.6,5,13.9,0.98,9,3,0,1,0,5,10,2.9,,critical
F001,37,inquiry,normal,online,27,10,7,16,3,5.5,0.75,17,2,0,0,0,3,8,5,,busy
F004,62,application,normal,walk-in,14,18,1,23,4,23.4,0.82,18,1,0,0,0,2,9,4.2,,congested
F004,78,application,elderly,appointment,14,6,5,24,4,14.9,0.87,14,1,0,0,0,2,9,4.2,,critical
